WPS Index Rank,Country,Code,"Women, Peace, and Security Index",Region,Education,Employment,Financial Inclusion,Cell Phone Use,Parliamentary Representation,Absence of Legal Discrimination,Access to Justice,Maternal Mortality Ratio,Son Bias,Intimate partner violence ,Community Safety,Political Violence Targeting Women,Proximity to Conflict
43,Romania,ROU,0.801,CEE&CA,11.3,63.5,65.7,95,21.7,90.6,2.8,12,105.6,6.9,59,0,0
44,Mongolia,MNG,0.799,EAP,9.9,63.4,99,99,25.4,90.6,2.5,41,104.4,11.5,46,0,0
45,Georgia,GEO,0.798,CEE&CA,12.8,63.9,70.7,96,22,88.1,2.4,20,106.6,2.9,79,0,10.6
46,Slovakia,SVK,0.797,CEE&CA,12.9,77.1,94,97,23.3,87.5,3.2,4,105.5,5.9,58,0,0
47,Argentina,ARG,0.791,LAC,11.4,67.3,73.8,91,43.2,79.4,2.8,33,105.1,4.5,41,0,0
48,Croatia,HRV,0.788,CEE&CA,11.9,73.7,90,97,33.1,93.8,3,3,106,4,69,0.1,0
49,Grenada,GRD,0.787,LAC,9.3,70.4,77.1,92.5,31,80.6,2.4,48,103.9,7.8,60.6,0,0
49,North Macedonia,MKD,0.787,CEE&CA,9.6,56.2,79.9,94,39.2,85,2.3,3,107.6,4.2,68,0,0
51,Suriname,SUR,0.779,LAC,9.2,53.9,70.9,91.5,31.4,76.9,3.1,84,104,7.7,63.6,0,0
52,Cyprus,CYP,0.77,CEE&CA,12.4,76.4,92.7,100,14.3,96.9,3.7,14,106.5,3.1,59,0.1,0
52,Guyana,GUY,0.77,LAC,8.6,42.4,70.9,91.5,39.4,86.9,2.6,75,103.7,10.5,63.6,0,0
54,Paraguay,PRY,0.768,LAC,8.9,66.2,55.3,94,23.2,94.4,2.2,58,105,5.5,44,0,0
55,Bahrain,BHR,0.765,MENA,12.1,48.4,75.4,100,22.5,68.1,1.4,17,103.8,8.2,87,0,0
56,Armenia,ARM,0.762,CEE&CA,11.3,62.4,52.2,94,38.3,90.6,3.1,19,108.3,4.6,79,0,42.1
57,Thailand,THA,0.761,EAP,8.9,76.5,92.7,90,20.4,78.1,1.9,34,106.4,9.3,59,0,2.8
58,Oman,OMN,0.755,MENA,12.1,45.6,63.5,100,10.2,46.3,2.6,13,104.4,8.2,90,0,0
59,Bosnia and Herzegovina,BIH,0.753,CEE&CA,10.3,51.6,70.4,88,15.8,85,2.4,6,106.7,3.4,62,0,0
60,Greece,GRC,0.752,DC,11.1,61.9,93.4,92,23.3,100,3.2,5,106.4,5.1,51,0.1,0
61,Montenegro,MNE,0.743,CEE&CA,12.2,63.1,67.6,94,27.2,85,2.8,6,106.7,4.4,85,0.3,0
62,Cabo Verde,CPV,0.741,SSA,5.8,58.4,54.8,71,44.4,86.3,2.6,40,103.3,10.9,58,0,0
63,Belarus,BLR,0.739,CEE&CA,12.1,80.8,81.3,88,32.7,75.6,1,1,105.9,6.3,56,0,0
63,Chile,CHL,0.739,LAC,11.2,64,86.6,96,32.8,80,3.1,10,104.3,5.8,34,0.1,0
63,Palau,PLW,0.739,EAP,13.3,74.5,82.2,95,19.4,56.3,2.4,89,107.7,13.8,74.9,0,0
63,Saudi Arabia,SAU,0.739,MENA,10.7,54.5,63.5,100,19.9,71.3,1.4,7,105.1,8.2,87,0,5.1
